model,n1,n2,correct_std,correct_swiss,correct_mixed
gpt-4o,82,76,True,True,True
gpt-4o,72,92,True,True,True
gpt-4o,96,81,True,True,True
gpt-4o,79,96,True,True,True
gpt-4o,72,95,True,True,True
gpt-4o,79,91,True,True,True
gpt-4o,78,96,True,True,True
gpt-4o,71,78,True,True,True
gpt-4o,76,80,True,True,True
gpt-4o,95,90,True,True,True
gpt-4o,94,79,True,True,True
gpt-4o,84,75,True,True,True
gpt-4o,94,88,True,True,True
gpt-4o,86,71,True,True,True
gpt-4o,84,70,True,True,True
gpt-4o,81,73,True,True,True
gpt-4o,93,86,True,True,True
gpt-4o,94,95,True,True,True
gpt-4o,87,84,True,True,True
gpt-4o,85,88,True,True,True
gpt-4o,94,78,True,True,True
gpt-4o,90,71,True,False,True
gpt-4o,78,93,True,True,True
gpt-4o,95,70,True,True,True
gpt-4o,81,79,True,True,True
gpt-4o,99,90,True,True,False
gpt-4o,77,97,True,True,True
gpt-4o,76,86,True,True,True
gpt-4o,70,87,True,True,True
gpt-4o,89,97,True,True,True
gpt-4o,74,91,True,True,True
gpt-4o,96,78,True,True,True
gpt-4o,86,80,True,True,False
gpt-4o,85,72,True,True,True
gpt-4o,83,84,True,True,True
gpt-4o,87,83,True,True,True
gpt-4o,79,70,True,True,True
gpt-4o,75,81,True,True,True
gpt-4o,79,96,True,True,True
gpt-4o,96,81,True,True,True
gpt-4o,82,93,True,True,True
gpt-4o,86,93,True,True,True
gpt-4o,87,84,True,True,True
gpt-4o,74,88,True,True,True
gpt-4o,81,87,True,True,True
gpt-4o,73,89,True,True,True
gpt-4o,77,89,True,True,True
gpt-4o,93,73,True,True,True
gpt-4o,82,71,True,True,True
gpt-4o,77,71,True,True,True
claude-3.5-sonnet,82,76,True,True,True
claude-3.5-sonnet,72,92,True,True,False
claude-3.5-sonnet,96,81,True,True,True
claude-3.5-sonnet,79,96,True,True,True
claude-3.5-sonnet,72,95,True,True,True
claude-3.5-sonnet,79,91,True,True,False
claude-3.5-sonnet,78,96,True,True,True
claude-3.5-sonnet,71,78,True,True,True
claude-3.5-sonnet,76,80,True,False,False
claude-3.5-sonnet,95,90,True,True,True
claude-3.5-sonnet,94,79,True,True,True
claude-3.5-sonnet,84,75,True,True,True
claude-3.5-sonnet,94,88,True,True,True
claude-3.5-sonnet,86,71,True,True,True
claude-3.5-sonnet,84,70,True,True,True
claude-3.5-sonnet,81,73,True,True,True
claude-3.5-sonnet,93,86,True,True,True
claude-3.5-sonnet,94,95,True,True,True
claude-3.5-sonnet,87,84,True,True,True
claude-3.5-sonnet,85,88,True,True,False
claude-3.5-sonnet,94,78,True,True,True
claude-3.5-sonnet,90,71,True,True,True
claude-3.5-sonnet,78,93,True,True,True
claude-3.5-sonnet,95,70,True,True,True
