number,fr_standard,fr_swiss,fr_belgian,is_vigesimal_std,structure_std
1,un,un,un,False,decimal
2,deux,deux,deux,False,decimal
3,trois,trois,trois,False,decimal
4,quatre,quatre,quatre,False,decimal
5,cinq,cinq,cinq,False,decimal
6,six,six,six,False,decimal
7,sept,sept,sept,False,decimal
8,huit,huit,huit,False,decimal
9,neuf,neuf,neuf,False,decimal
10,dix,dix,dix,False,decimal
11,onze,onze,onze,False,decimal
12,douze,douze,douze,False,decimal
13,treize,treize,treize,False,decimal
14,quatorze,quatorze,quatorze,False,decimal
15,quinze,quinze,quinze,False,decimal
16,seize,seize,seize,False,decimal
17,dix-sept,dix-sept,dix-sept,False,decimal
18,dix-huit,dix-huit,dix-huit,False,decimal
19,dix-neuf,dix-neuf,dix-neuf,False,decimal
20,vingt,vingt,vingt,False,decimal
21,vingt et un,vingt et un,vingt et un,False,decimal
22,vingt-deux,vingt-deux,vingt-deux,False,decimal
23,vingt-trois,vingt-trois,vingt-trois,False,decimal
24,vingt-quatre,vingt-quatre,vingt-quatre,False,decimal
25,vingt-cinq,vingt-cinq,vingt-cinq,False,decimal
26,vingt-six,vingt-six,vingt-six,False,decimal
27,vingt-sept,vingt-sept,vingt-sept,False,decimal
28,vingt-huit,vingt-huit,vingt-huit,False,decimal
29,vingt-neuf,vingt-neuf,vingt-neuf,False,decimal
30,trente,trente,trente,False,decimal
31,trente et un,trente et un,trente et un,False,decimal
32,trente-deux,trente-deux,trente-deux,False,decimal
33,trente-trois,trente-trois,trente-trois,False,decimal
34,trente-quatre,trente-quatre,trente-quatre,False,decimal
35,trente-cinq,trente-cinq,trente-cinq,False,decimal
36,trente-six,trente-six,trente-six,False,decimal
37,trente-sept,trente-sept,trente-sept,False,decimal
38,trente-huit,trente-huit,trente-huit,False,decimal
39,trente-neuf,trente-neuf,trente-neuf,False,decimal
40,quarante,quarante,quarante,False,decimal
41,quarante et un,quarante et un,quarante et un,False,decimal
42,quarante-deux,quarante-deux,quarante-deux,False,decimal
43,quarante-trois,quarante-trois,quarante-trois,False,decimal
44,quarante-quatre,quarante-quatre,quarante-quatre,False,decimal
45,quarante-cinq,quarante-cinq,quarante-cinq,False,decimal
46,quarante-six,quarante-six,quarante-six,False,decimal
47,quarante-sept,quarante-sept,quarante-sept,False,decimal
48,quarante-huit,quarante-huit,quarante-huit,False,decimal
49,quarante-neuf,quarante-neuf,quarante-neuf,False,decimal
50,cinquante,cinquante,cinquante,False,decimal
51,cinquante et un,cinquante et un,cinquante et un,False,decimal
52,cinquante-deux,cinquante-deux,cinquante-deux,False,decimal
53,cinquante-trois,cinquante-trois,cinquante-trois,False,decimal
54,cinquante-quatre,cinquante-quatre,cinquante-quatre,False,decimal
55,cinquante-cinq,cinquante-cinq,cinquante-cinq,False,decimal
56,cinquante-six,cinquante-six,cinquante-six,False,decimal
57,cinquante-sept,cinquante-sept,cinquante-sept,False,decimal
58,cinquante-huit,cinquante-huit,cinquante-huit,False,decimal
59,cinquante-neuf,cinquante-neuf,cinquante-neuf,False,decimal
60,soixante,soixante,soixante,False,decimal
61,soixante et un,soixante et un,soixante et un,False,decimal
62,soixante-deux,soixante-deux,soixante-deux,False,decimal
63,soixante-trois,soixante-trois,soixante-trois,False,decimal
64,soixante-quatre,soixante-quatre,soixante-quatre,False,decimal
65,soixante-cinq,soixante-cinq,soixante-cinq,False,decimal
66,soixante-six,soixante-six,soixante-six,False,decimal
67,soixante-sept,soixante-sept,soixante-sept,False,decimal
68,soixante-huit,soixante-huit,soixante-huit,False,decimal
69,soixante-neuf,soixante-neuf,soixante-neuf,False,decimal
70,soixante-dix,septante,septante,True,vigesimal
71,soixante et onze,septante et un,septante et un,True,vigesimal
72,soixante-douze,septante-deux,septante-deux,True,vigesimal
73,soixante-treize,septante-trois,septante-trois,True,vigesimal
74,soixante-quatorze,septante-quatre,septante-quatre,True,vigesimal
75,soixante-quinze,septante-cinq,septante-cinq,True,vigesimal
76,soixante-seize,septante-six,septante-six,True,vigesimal
77,soixante-dix-sept,septante-sept,septante-sept,True,vigesimal
78,soixante-dix-huit,septante-huit,septante-huit,True,vigesimal
79,soixante-dix-neuf,septante-neuf,septante-neuf,True,vigesimal
80,quatre-vingts,huitante,quatre-vingt,True,vigesimal
