number,fr_standard,fr_swiss,fr_belgian,is_vigesimal_std,structure_std,tokens_std_gpt-4o (o200k_base),tokens_swiss_gpt-4o (o200k_base),token_diff_gpt-4o (o200k_base),tokens_std_gpt-4/3.5 (cl100k_base),tokens_swiss_gpt-4/3.5 (cl100k_base),token_diff_gpt-4/3.5 (cl100k_base),tokens_std_gpt-3 (p50k_base),tokens_swiss_gpt-3 (p50k_base),token_diff_gpt-3 (p50k_base),tokens_std_llama-3,tokens_swiss_llama-3,token_diff_llama-3,tokens_std_mistral,tokens_swiss_mistral,token_diff_mistral
1,un,un,un,False,decimal,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
2,deux,deux,deux,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,1,1,0
3,trois,trois,trois,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,1,1,0
4,quatre,quatre,quatre,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,1,1,0
5,cinq,cinq,cinq,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,1,1,0
6,six,six,six,False,decimal,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
7,sept,sept,sept,False,decimal,1,1,0,2,2,0,2,2,0,1,1,0,1,1,0
8,huit,huit,huit,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,2,2,0
9,neuf,neuf,neuf,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
10,dix,dix,dix,False,decimal,2,2,0,2,2,0,2,2,0,1,1,0,2,2,0
11,onze,onze,onze,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
12,douze,douze,douze,False,decimal,2,2,0,3,3,0,3,3,0,2,2,0,2,2,0
13,treize,treize,treize,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
14,quatorze,quatorze,quatorze,False,decimal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
15,quinze,quinze,quinze,False,decimal,2,2,0,2,2,0,2,2,0,3,3,0,3,3,0
16,seize,seize,seize,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
17,dix-sept,dix-sept,dix-sept,False,decimal,4,4,0,4,4,0,5,5,0,4,4,0,5,5,0
18,dix-huit,dix-huit,dix-huit,False,decimal,4,4,0,4,4,0,5,5,0,4,4,0,5,5,0
19,dix-neuf,dix-neuf,dix-neuf,False,decimal,4,4,0,4,4,0,5,5,0,4,4,0,5,5,0
20,vingt,vingt,vingt,False,decimal,2,2,0,2,2,0,2,2,0,2,2,0,3,3,0
21,vingt et un,vingt et un,vingt et un,False,decimal,4,4,0,4,4,0,4,4,0,4,4,0,5,5,0
22,vingt-deux,vingt-deux,vingt-deux,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
23,vingt-trois,vingt-trois,vingt-trois,False,decimal,5,5,0,5,5,0,5,5,0,6,6,0,7,7,0
24,vingt-quatre,vingt-quatre,vingt-quatre,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
25,vingt-cinq,vingt-cinq,vingt-cinq,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
26,vingt-six,vingt-six,vingt-six,False,decimal,3,3,0,3,3,0,4,4,0,4,4,0,5,5,0
27,vingt-sept,vingt-sept,vingt-sept,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
28,vingt-huit,vingt-huit,vingt-huit,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
29,vingt-neuf,vingt-neuf,vingt-neuf,False,decimal,4,4,0,4,4,0,5,5,0,5,5,0,6,6,0
30,trente,trente,trente,False,decimal,2,2,0,2,2,0,3,3,0,2,2,0,2,2,0
31,trente et un,trente et un,trente et un,False,decimal,4,4,0,4,4,0,5,5,0,4,4,0,4,4,0
32,trente-deux,trente-deux,trente-deux,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
33,trente-trois,trente-trois,trente-trois,False,decimal,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0
34,trente-quatre,trente-quatre,trente-quatre,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
35,trente-cinq,trente-cinq,trente-cinq,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
36,trente-six,trente-six,trente-six,False,decimal,3,3,0,3,3,0,5,5,0,4,4,0,4,4,0
37,trente-sept,trente-sept,trente-sept,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
38,trente-huit,trente-huit,trente-huit,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
39,trente-neuf,trente-neuf,trente-neuf,False,decimal,4,4,0,4,4,0,6,6,0,5,5,0,5,5,0
